occurrenceID,decimalLatitude,decimalLongitude,sea_distance_km
0001c38f-dfc9-4bda-8ea3-10f3f7a608da,51.70184,-5.28496,784.7376325756857
0003be25-3871-4842-93b2-99e1b7c710c4,45.0513,-66.8956,5368.959133646672
00068aff-43ed-40fb-be05-31d81960e267,51.70978,-5.125921,784.7376325756857
0007a998-5f18-4a13-94a5-2aa9f6251f17,57.26567825583345,-5.500412647994011,1278.902699937512
000897c1-b9df-41ba-bf60-f7bcb80db095,55.87543,-2.083087,684.4334873028815
000cf616-d32f-4e9c-b6ef-800081294600,46.2068,-60.249,4735.236878484457
0012071a-fe51-40dd-ae48-27a98ee22a35,56.00633,-2.543606,684.4334873028815
00140acc-3b40-4ebd-aa2f-358de39a69b9,42.5276985168,-70.8663024902,5651.052843996617
0015c10c-3047-4875-94fe-8b345be7bb2e,58.63535,-4.987135,1090.1838862459572
00172c96-7d80-4c45-8909-8b6ffde2d934,54.07339,-3.175177,1094.1605172729096
001c5e26-d4bd-4c17-bea9-738502f0cdd0,51.74087,-5.310046,784.7376325756857
001ca317-6e5f-4da4-8274-e6c6d93a2d4a,51.75675,-5.190493,784.7376325756857
00205718-8ef7-4795-af4d-c5ae0893ae56,52.664034,-4.367352,951.9179077801032
0024b75d-d97e-4f75-84d3-84ed8e590771,56.64875,-6.105169,1363.5254790994202
002e67be-8b85-461b-bad4-390ea9caef4f,53.25429,-4.635224,992.2531783671865
0044c742-5615-4345-9537-8b934252161e,44.7631,-66.749,5316.874147070534
004e0b0e-e7df-4362-befa-f30bb5105ab3,41.5136184692,-71.0769271851,5669.424503041529
004f5f78-75db-4077-9352-d0e4a182ec03,51.61211,-5.054316,801.5623405433445
005b3cf0-22ae-47f6-b1a8-a926f36fbf78,54.09917,-5.903441,1068.4214495782228
005c7b8a-143a-416b-a809-577d38146f9a,50.59276,-3.443817,414.5277235525919
005cb3ca-3dea-4f09-aa17-202e62cc8e44,50.65503,-0.9853473,230.31185739268804
006a8cdc-a591-4592-986b-7722fb15a1ec,32.6778678894,-117.161613464,14133.934279024812
007145fe-d9ed-4b9a-bc9c-b5886934fc41,60.10268,-1.075636,1114.697389063438
00737c38-3da9-4b3e-8d71-49d578ade528,55.1745,-6.043839,1194.4421616835646
007b9d78-9d0b-41fd-8bd4-aa25867cb180,50.68005,-0.89697,228.84491791666298
00834974-e7a3-4622-b176-b3a2bb667c23,55.73739,-6.497418,1269.0914251365175
