locationID	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	scientificName	taxonRank	closest_obis_lat	closest_obis_lon	distance_over_water_km	wrims_status_new_location	wrims_status_closest_obis
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Acartia tonsa	species	51.22835	2.9518	92.98086176973882	probably introduced	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Ammothea hilgendorfi	species	51.39376	1.394239	91.85522953554528	probably introduced	probably introduced
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Amphibalanus amphitrite	species	51.11299	2.680961	0.0	unknown status (possibly native)	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Amphibalanus improvisus	species	51.1294	2.7517	0.0	unknown status (possibly native)	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Ampithoe valida	species	43.6732407	-1.427137	1285.018178318191	unknown status (possibly native)	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Anguillicola crassus	species	51.46908	0.29281	186.70402455227205	probably introduced	probably introduced
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Antithamnionella ternifolia	species	50.913166	1.6768246	75.941755714481	probably introduced	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Aplidium glabrum	species	51.56081	3.95285	138.28117107635202	probably introduced	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Aurelia coerulea	species	-14.65	145.48444	20331.43079170022	unknown status (possibly native)	unknown status (possibly native)
Site A	"51°06'39.3""N"	"2°36'13.6""E"	51.11091666666667	2.6037777777777777	Austrominius modestus	species	51.11486388	2.57857672	0.0	unknown status (possibly native)	unknown status (possibly native)
